ego_lat,ego_lng,f_c,f_1,f_2,dist_to_dest,dist_to_c,dist_to_a1,dist_to_a2
42.8835,-105.874,1.56785e+10,1.01371e+07,0,883.31,185.937,249.939,901.46
42.8836,-105.874,1.56957e+10,1.01377e+07,0,883.238,185.869,249.931,901.392
42.8837,-105.875,1.5713e+10,1.01384e+07,0,883.167,185.801,249.922,901.325
42.8837,-105.876,1.57303e+10,1.01391e+07,0,883.095,185.732,249.914,901.258
42.8838,-105.877,1.57477e+10,1.01397e+07,0,883.024,185.664,249.906,901.19
42.8839,-105.878,1.5765e+10,1.01404e+07,0,882.952,185.596,249.898,901.123
42.884,-105.879,1.57824e+10,1.01411e+07,0,882.881,185.528,249.89,901.056
42.884,-105.88,1.57998e+10,1.01417e+07,0,882.809,185.46,249.882,900.988
42.8841,-105.881,1.58172e+10,1.01424e+07,0,882.738,185.392,249.873,900.921
42.8842,-105.881,1.58347e+10,1.01431e+07,0,882.666,185.323,249.865,900.854
42.8843,-105.882,1.58522e+10,1.01437e+07,0,882.595,185.255,249.857,900.786
42.8843,-105.883,1.58697e+10,1.01444e+07,0,882.523,185.187,249.849,900.719
42.8844,-105.884,1.58872e+10,1.0145e+07,0,882.452,185.119,249.841,900.652
42.8845,-105.885,1.59048e+10,1.01457e+07,0,882.381,185.051,249.833,900.584
42.8846,-105.886,1.59224e+10,1.01464e+07,0,882.309,184.983,249.824,900.517
42.8847,-105.887,1.594e+10,1.0147e+07,0,882.238,184.914,249.816,900.45
42.8847,-105.888,1.59576e+10,1.01477e+07,0,882.166,184.846,249.808,900.382
42.8848,-105.888,1.59753e+10,1.01483e+07,0,882.095,184.778,249.8,900.315
42.8849,-105.889,1.5993e+10,1.0149e+07,0,882.023,184.71,249.792,900.248
42.885,-105.89,1.60107e+10,1.01497e+07,0,881.952,184.642,249.784,900.18
42.885,-105.891,1.60285e+10,1.01503e+07,0,881.881,184.574,249.776,900.113
42.8851,-105.892,1.60462e+10,1.0151e+07,0,881.809,184.505,249.768,900.046
42.8852,-105.893,1.6064e+10,1.01516e+07,0,881.738,184.437,249.759,899.978
42.8853,-105.894,1.60818e+10,1.01523e+07,0,881.666,184.369,249.751,899.911
